[I 190407 07:40:27 main:190] Temperature: 32.1ºC; Humidity: 35.56%; Pressure: 98255.47Pa; CPU_Temperature: 41.16ºC
[I 190407 07:40:32 main:190] Temperature: 31.9ºC; Humidity: 35.4%; Pressure: 98255.79Pa; CPU_Temperature: 40.62ºC
[I 190407 07:40:37 main:190] Temperature: 31.99ºC; Humidity: 35.63%; Pressure: 98257.18Pa; CPU_Temperature: 41.16ºC
[I 190407 07:40:43 main:190] Temperature: 31.9ºC; Humidity: 35.06%; Pressure: 98257.71Pa; CPU_Temperature: 40.62ºC
[I 190407 07:40:48 main:190] Temperature: 31.97ºC; Humidity: 35.33%; Pressure: 98260.11Pa; CPU_Temperature: 40.62ºC
[I 190407 07:40:53 main:190] Temperature: 31.9ºC; Humidity: 35.35%; Pressure: 98254.25Pa; CPU_Temperature: 41.16ºC
[I 190407 07:40:58 main:190] Temperature: 31.99ºC; Humidity: 35.58%; Pressure: 98256.18Pa; CPU_Temperature: 41.16ºC
[I 190407 07:41:03 main:190] Temperature: 31.86ºC; Humidity: 35.51%; Pressure: 98257.57Pa; CPU_Temperature: 41.16ºC
[I 190407 07:41:08 main:190] Temperature: 31.97ºC; Humidity: 35.84%; Pressure: 98257.89Pa; CPU_Temperature: 40.08ºC
[I 190407 07:41:13 main:190] Temperature: 31.86ºC; Humidity: 35.87%; Pressure: 98256.93Pa; CPU_Temperature: 41.16ºC
[I 190407 07:41:18 main:190] Temperature: 31.92ºC; Humidity: 35.76%; Pressure: 98255.1Pa; CPU_Temperature: 41.16ºC
[I 190407 07:41:23 main:190] Temperature: 31.99ºC; Humidity: 35.66%; Pressure: 98256.15Pa; CPU_Temperature: 40.62ºC
[I 190407 07:41:28 main:190] Temperature: 31.99ºC; Humidity: 36.02%; Pressure: 98259.47Pa; CPU_Temperature: 41.16ºC
[I 190407 07:41:33 main:190] Temperature: 31.92ºC; Humidity: 35.54%; Pressure: 98254.79Pa; CPU_Temperature: 40.62ºC
[I 190407 07:41:39 main:190] Temperature: 31.9ºC; Humidity: 35.6%; Pressure: 98257.37Pa; CPU_Temperature: 41.16ºC
[I 190407 07:41:44 main:190] Temperature: 31.86ºC; Humidity: 35.37%; Pressure: 98253.1Pa; CPU_Temperature: 40.62ºC
[I 190407 07:41:49 main:190] Temperature: 31.86ºC; Humidity: 35.62%; Pressure: 98259.57Pa; CPU_Temperature: 40.62ºC
[I 190407 07:41:54 main:190] Temperature: 32.05ºC; Humidity: 36.02%; Pressure: 98259.45Pa; CPU_Temperature: 40.62ºC
[I 190407 07:41:59 main:190] Temperature: 31.92ºC; Humidity: 35.5%; Pressure: 98254.83Pa; CPU_Temperature: 41.16ºC
[I 190407 07:42:04 main:190] Temperature: 31.95ºC; Humidity: 36.02%; Pressure: 98258.62Pa; CPU_Temperature: 40.08ºC
[I 190407 07:42:09 main:190] Temperature: 31.88ºC; Humidity: 35.31%; Pressure: 98258.98Pa; CPU_Temperature: 40.62ºC
[I 190407 07:42:14 main:190] Temperature: 31.82ºC; Humidity: 35.56%; Pressure: 98257.03Pa; CPU_Temperature: 41.16ºC
[I 190407 07:42:19 main:190] Temperature: 31.92ºC; Humidity: 35.53%; Pressure: 98258.98Pa; CPU_Temperature: 40.08ºC
